"Partie";"Nom de la section";"Champ";"Type";"Traduction"
"contenu";;"adressefoyer_id";"text";"Adressefoyer.id"
"contenu";;"adressefoyer_adresse_id";"text";"Adressefoyer.adresse_id"
"contenu";;"adressefoyer_foyer_id";"text";"Adressefoyer.foyer_id"
"contenu";;"adressefoyer_rgadr";"text";"Rang Adresse"
"contenu";;"adressefoyer_dtemm";"date";"Date emménagement"
"contenu";;"adressefoyer_typeadr";"text";"Code nature adresse"
"contenu";;"adressefoyer_etatadr";"text";"Adressefoyer.etatadr"
"contenu";;"adresse_id";"text";"Adresse.id"
"contenu";;"adresse_numvoie";"text";"Numéro de voie"
"contenu";;"adresse_nomvoie";"text";"Nom de voie"
"contenu";;"adresse_complideadr";"text";"Complément identification adresse"
"contenu";;"adresse_compladr";"text";"Complément d'adresse"
"contenu";;"adresse_lieudist";"text";"Lieu de distribution"
"contenu";;"adresse_codepos";"text";"Code postal"
"contenu";;"adresse_pays";"text";"Code Pays"
"contenu";;"adresse_canton";"text";"Code Canton"
"contenu";;"adresse_typeres";"text";"Adresse.typeres"
"contenu";;"adresse_topresetr";"text";"Adresse.topresetr"
"contenu";;"adresse_foyerid";"text";"Adresse.foyerid"
"contenu";;"adresse_libtypevoie";"text";"Type de voie"
"contenu";;"adresse_numcom";"text";"Numéro de commune sens INSEE"
"contenu";;"adresse_nomcom";"text";"Nom de commune"
"contenu";;"adresse_liblig2adr";"text";"Adresse.liblig2adr"
"contenu";;"adresse_liblig3adr";"text";"Adresse.liblig3adr"
"contenu";;"adresse_liblig4adr";"text";"Adresse.liblig4adr"
"contenu";;"adresse_liblig5adr";"text";"Adresse.liblig5adr"
"contenu";;"adresse_liblig6adr";"text";"Adresse.liblig6adr"
"contenu";;"adresse_liblig7adr";"text";"Adresse.liblig7adr"
"contenu";;"decisionpropopdo_id";"text";"Decisionpropopdo.id"
"contenu";;"decisionpropopdo_datedecisionpdo";"date";"Date de la proposition"
"contenu";;"decisionpropopdo_decisionpdo_id";"text";"Type de proposition"
"contenu";;"decisionpropopdo_commentairepdo";"text";"Proposition"
"contenu";;"decisionpropopdo_isvalidation";"text";"Decisionpropopdo.isvalidation"
"contenu";;"decisionpropopdo_validationdecision";"text";"Validation de la proposition"
"contenu";;"decisionpropopdo_datevalidationdecision";"text";"Date de validation de la proposition"
"contenu";;"decisionpropopdo_etatdossierpdo";"text";"Etat du dossier"
"contenu";;"decisionpropopdo_propopdo_id";"text";"Decisionpropopdo.propopdo_id"
"contenu";;"decisionpropopdo_commentairedecision";"text";"Commentaire"
"contenu";;"decisionpropopdo_avistechnique";"text";"Avis technique"
"contenu";;"decisionpropopdo_dateavistechnique";"text";"Date de l'avis technique"
"contenu";;"decisionpropopdo_commentaireavistechnique";"text";"Commentaire"
"contenu";;"decisionpropopdo_created_time";"text";
"contenu";;"decisionpropopdo_created";"date";"Decisionpropopdo.created"
"contenu";;"decisionpropopdo_modified_time";"text";
"contenu";;"decisionpropopdo_modified";"date";"Decisionpropopdo.modified"
"contenu";;"decisionpropopdo_hasreponseep";"text";"Réponse à l'EP"
"contenu";;"decisionpropopdo_accordepaudition";"text";"En accord avec l'avis de l'EPL Commission Audition"
"contenu";;"decisionpropopdo_commentairereponseep";"text";"Commentaire"
"contenu";;"decisionpropopdo_datereponseep";"text";"Date"
"contenu";;"decisionpropopdo_decisionreponseep";"text";"Suite à l'avis de l'EP Locale Commission Audition"
"contenu";;"decisionpdo_id";"text";"Decisionpdo.id"
"contenu";;"decisionpdo_libelle";"text";"Libellé"
"contenu";;"decisionpdo_clos";"text";"Ce type clotûre-t-il le dossier ?"
"contenu";;"decisionpdo_cerparticulier";"text";"Cette décision est-elle en lien avec un CER Particulier ?"
"contenu";;"decisionpdo_decisioncerparticulier";"text";"Décision en lien avec la validation d'un CER"
"contenu";;"decisionpdo_modeleodt";"text";"Modèle de document lié"
"contenu";;"decisionpdo_isactif";"text";"Actif ?"
"contenu";;"structurereferente_id";"text";"Structurereferente.id"
"contenu";;"structurereferente_typeorient_id";"text";"Structurereferente.typeorient_id"
"contenu";;"structurereferente_lib_struc";"text";"Type de structure"
"contenu";;"structurereferente_num_voie";"text";"Structurereferente.num_voie"
"contenu";;"structurereferente_type_voie";"text";"Structurereferente.type_voie"
"contenu";;"structurereferente_nom_voie";"text";"Structurereferente.nom_voie"
"contenu";;"structurereferente_code_postal";"text";"Structurereferente.code_postal"
"contenu";;"structurereferente_ville";"text";"Ville"
"contenu";;"structurereferente_code_insee";"text";"Structurereferente.code_insee"
"contenu";;"structurereferente_filtre_zone_geo";"text";"Structurereferente.filtre_zone_geo"
"contenu";;"structurereferente_contratengagement";"text";"Gestion des CERs"
